#Data Set Export - Depth Below Ground.Field Visits@RN010678,,
Latest telemetry data is sourced directly from logging devices and is unverified. No guarantee is made as to the accuracy or reliability of the data until it is approved. Use with caution.,,
Timestamp (UTC+09:30),Event Timestamp (UTC+09:30),Value (m)
1975-10-21 00:00:00,,-4.0600000000000005
1975-11-30 00:00:00,,-4.07
1976-03-31 00:00:00,,-2.67
1976-04-30 00:00:00,,-2.94
1976-05-21 00:00:00,,-2.88
1976-06-21 00:00:00,,-3.2399999999999998
1976-08-11 00:00:00,,-3.4499999999999997
1976-09-07 00:00:00,,-3.55
1977-03-14 00:00:00,,-2.9499999999999997
1977-11-02 00:00:00,,-3.7999999999999994
1978-04-19 00:00:00,,-4.03
1980-10-22 00:00:00,,-4.5600000000000005
1981-02-16 00:00:00,,-4.5
1981-05-05 00:00:00,,-3.85
1981-10-20 00:00:00,,-4.58
1982-06-24 00:00:00,,-4.16
1982-09-23 00:00:00,,-4.29
1983-02-16 00:00:00,,-4.36
1983-04-21 00:00:00,,-3.9199999999999995
1983-06-02 00:00:00,,-3.4499999999999997
1983-07-14 00:00:00,,-3.19
1983-08-25 00:00:00,,-3.71
1983-10-06 00:00:00,,-3.82
1983-11-17 00:00:00,,-4.180000000000001
1983-12-20 00:00:00,,-3.9499999999999997
1984-02-16 00:00:00,,-3.4899999999999998
1984-03-30 00:00:00,,-3.6999999999999997
1984-05-18 00:00:00,,-3.82
1984-07-04 00:00:00,,-3.9999999999999996
1984-09-06 00:00:00,,-4.08
1984-10-19 00:00:00,,-4.15
1985-04-19 00:00:00,,-4.38
1985-06-19 00:00:00,,-4.48
1985-07-31 00:00:00,,-4.5200000000000005
1985-09-20 00:00:00,,-4.55
1985-10-22 00:00:00,,-4.5600000000000005
1986-07-02 00:00:00,,-4.83
1986-08-19 00:00:00,,-4.78
1986-09-25 00:00:00,,-4.78
1986-10-28 00:00:00,,-4.7700000000000005
1986-12-16 00:00:00,,-4.7700000000000005
1987-02-03 00:00:00,,-4.7700000000000005
1987-03-26 00:00:00,,-4.79
1987-04-29 00:00:00,,-4.8100000000000005
1987-07-08 00:00:00,,-4.84
1987-12-09 00:00:00,,-4.890000000000001
1988-05-17 00:00:00,,-4.930000000000001
1988-11-22 00:00:00,,-5.0600000000000005
1989-05-24 00:00:00,,-4.930000000000001
1989-11-13 00:00:00,,-5.010000000000001
1990-06-05 00:00:00,,-5.05
1990-11-26 00:00:00,,-5.13
1991-03-12 00:00:00,,-4.45
1991-06-03 00:00:00,,-4.42
1991-11-25 00:00:00,,-4.65
1992-06-01 00:00:00,,-5.0200000000000005
1992-12-07 00:00:00,,-5.09
1993-06-21 00:00:00,,-5.180000000000001
1993-12-06 00:00:00,,-5.28
1994-06-07 00:00:00,,-5.3500000000000005
1994-12-08 00:00:00,,-5.44
1995-01-23 00:00:00,,-5.42
1995-06-19 00:00:00,,-5.24
1995-11-29 00:00:00,,-5.34
1996-06-24 00:00:00,,-5.42
1996-11-27 00:00:00,,-5.49
1997-05-14 00:00:00,,-5.140000000000001
1997-11-17 00:00:00,,-5.32
1998-06-01 00:00:00,,-5.42
1998-12-14 00:00:00,,-5.54
1999-08-11 00:00:00,,-5.61
2000-08-31 00:00:00,,-4.99
2001-02-21 00:00:00,,-5.0200000000000005
2003-05-13 00:00:00,,-5.430000000000001
2004-01-19 00:00:00,,-5.58
2005-05-17 14:30:00,,-5.73
2007-03-01 13:15:00,,-5.5600000000000005
2007-03-16 11:10:00,,-5.59
2008-08-19 09:32:00,,-5.83
2009-05-11 12:30:00,,-5.720000000000001
2009-10-26 15:15:00,,-6.0200000000000005
2010-06-07 15:37:00,,-5.83
2010-11-29 15:20:00,,-5.930000000000001
2011-07-26 12:16:00,,-6.0200000000000005
2012-06-19 13:11:00,,-6.12
2013-03-11 17:05:00,,-6.2
2019-11-25 15:40:00,,-6.19
2022-08-17 14:30:00,,-6.16
2023-06-22 12:03:00,,-6.3100000000000005
2023-10-25 16:11:00,,-6.390000000000001
2024-08-30 08:48:00,,-6.010000000000001
2024-12-11 16:23:00,,-6.07
