#Data Set Export - Depth Below Ground.Field Visits@RN005628,,
Latest telemetry data is sourced directly from logging devices and is unverified. No guarantee is made as to the accuracy or reliability of the data until it is approved. Use with caution.,,
Timestamp (UTC+09:30),Event Timestamp (UTC+09:30),Value (m)
1967-02-21 00:00:00,,-14.68
1967-03-14 00:00:00,,-14.7
1967-04-04 00:00:00,,-14.69
1967-04-19 00:00:00,,-14.74
1967-05-03 00:00:00,,-14.73
1967-05-19 00:00:00,,-14.7
1967-06-07 00:00:00,,-14.72
1967-06-21 00:00:00,,-14.72
1967-07-05 00:00:00,,-14.73
1967-08-02 00:00:00,,-14.73
1967-10-24 00:00:00,,-14.68
1968-06-13 00:00:00,,-14.65
1968-09-17 00:00:00,,-14.63
1968-10-27 00:00:00,,-14.62
1969-02-19 00:00:00,,-14.62
1969-05-09 00:00:00,,-14.63
1969-08-21 00:00:00,,-14.63
1969-11-25 00:00:00,,-14.6
1970-05-28 00:00:00,,-14.64
1970-07-14 00:00:00,,-14.65
1970-09-23 00:00:00,,-14.59
1970-11-18 00:00:00,,-14.62
1975-10-22 00:00:00,,-13.31
1975-11-28 00:00:00,,-13.31
1976-03-09 00:00:00,,-13.37
1976-05-01 00:00:00,,-13.41
1976-06-22 00:00:00,,-13.12
1976-09-07 00:00:00,,-13.05
1977-03-14 00:00:00,,-12.94
1977-08-11 00:00:00,,-12.82
1977-11-03 00:00:00,,-12.81
1978-04-18 00:00:00,,-12.85
1980-10-22 00:00:00,,-12.95
1981-02-17 00:00:00,,-12.98
1981-05-06 00:00:00,,-13.04
1981-10-19 00:00:00,,-13.03
1982-06-24 00:00:00,,-13.08
1982-09-23 00:00:00,,-13.28
1982-12-16 00:00:00,,-13.01
1983-04-21 00:00:00,,-13.07
1983-06-02 00:00:00,,-13.12
1983-07-14 00:00:00,,-13.07
1983-08-25 00:00:00,,-13
1983-10-06 00:00:00,,-12.96
1983-11-17 00:00:00,,-12.99
1983-12-20 00:00:00,,-12.99
1984-02-16 00:00:00,,-12.98
1984-03-30 00:00:00,,-13.04
1984-05-18 00:00:00,,-12.97
1984-07-04 00:00:00,,-13.01
1984-09-06 00:00:00,,-12.97
1984-10-19 00:00:00,,-13
1984-12-04 00:00:00,,-12.97
1985-01-18 00:00:00,,-12.96
1985-02-28 00:00:00,,-12.96
1985-04-19 00:00:00,,-13.03
1985-07-31 00:00:00,,-13.05
1985-09-20 00:00:00,,-13.05
1985-10-22 00:00:00,,-13.08
1986-01-30 00:00:00,,-13.19
1986-05-23 00:00:00,,-13.12
1986-07-02 00:00:00,,-13.09
1986-08-22 00:00:00,,-13.1
1986-09-26 00:00:00,,-13.12
1986-10-30 00:00:00,,-13.19
1986-12-18 00:00:00,,-13.16
1987-02-06 00:00:00,,-13.13
1987-03-27 00:00:00,,-13.18
1987-04-29 00:00:00,,-13.21
1987-07-08 00:00:00,,-13.19
1987-12-09 00:00:00,,-13.16
1988-05-17 00:00:00,,-13.19
1988-11-21 00:00:00,,-13.28
1989-05-22 00:00:00,,-13.31
1989-11-14 00:00:00,,-13.27
1990-06-05 00:00:00,,-13.43
1990-11-26 00:00:00,,-13.39
1991-03-12 00:00:00,,-13.44
1991-06-04 00:00:00,,-13.44
1991-11-26 00:00:00,,-13.44
1992-06-02 00:00:00,,-13.52
1992-12-07 00:00:00,,-13.49
1993-06-21 00:00:00,,-13.6
1993-12-06 00:00:00,,-13.57
1994-06-06 00:00:00,,-13.61
1994-12-08 00:00:00,,-13.64
1995-01-23 00:00:00,,-13.66
1995-06-19 00:00:00,,-13.79
1995-11-29 00:00:00,,-13.69
1996-06-24 00:00:00,,-13.76
1996-11-27 00:00:00,,-13.76
1997-05-14 00:00:00,,-13.8
1997-11-17 00:00:00,,-13.8
1998-06-01 00:00:00,,-13.88
1998-12-14 00:00:00,,-13.88
1999-08-11 00:00:00,,-13.95
2000-08-31 00:00:00,,-13.9
2001-02-22 00:00:00,,-13.9
2003-05-13 00:00:00,,-13.83
2004-01-19 00:00:00,,-13.88
2005-05-17 07:45:00,,-13.92
2008-08-18 13:04:00,,-14.04
2009-05-11 15:25:00,,-13.83
2009-10-26 12:10:00,,-14.01
2010-06-07 13:47:00,,-14.08
2010-11-29 13:26:00,,-14.04
2011-07-25 14:57:00,,-14.07
2012-06-18 16:03:00,,-14.14
2013-03-11 15:07:00,,-14.11
2019-11-25 14:12:00,,-13.82
2022-08-17 16:15:00,,-13.79
2023-06-22 14:05:00,,-13.77
2023-10-26 09:15:00,,-13.83
2024-08-29 14:25:00,,-13.78
2024-12-06 10:20:00,,-13.77
